match_id,hero,role,lane,midas_team,buy_sec,ref_bucket,nw_diff_raw,midas_nw_adv,total_nw,nw_adv_pct_total,nw_adv_pct_buyer,band,band_label,expected_win,actual_win,delta
8716529121,ogre_magi,Support,Safelane,dire,1019,960,4832,-4832,52504,-9.2,-20.27,3,15-20%,0.254,1,0.746
8716541386,warlock,Support,Offlane,dire,1200,1170,-5459,5459,71943,7.59,14.11,15,75-80%,0.7751,1,0.2249
8716544066,ogre_magi,Support,Offlane,dire,1178,1140,4216,-4216,59408,-7.1,-15.28,4,20-25%,0.2618,1,0.7382
8716545192,furion,Support,Offlane,dire,983,930,-3366,3366,49764,6.76,12.67,14,70-75%,0.6824,0,-0.6824
8716549421,furion,Core,Mid,dire,528,480,-2449,2449,24343,10.06,18.28,18,90-95%,0.7826,1,0.2174
8716556172,ogre_magi,Support,Safelane,radiant,1028,990,-5371,-5371,52061,-10.32,-23.01,2,10-15%,0.183,1,0.817
8716557568,invoker,Core,Mid,radiant,766,720,-775,-775,33815,-2.29,-4.69,7,35-40%,0.4256,0,-0.4256
8716557779,ogre_magi,Core,Offlane,radiant,650,600,3344,3344,25432,13.15,23.24,18,90-95%,0.8034,0,-0.8034
8716558472,life_stealer,Core,Safelane,dire,575,540,-1615,1615,28057,5.76,10.89,15,75-80%,0.664,1,0.336
8716559162,ogre_magi,Support,Offlane,dire,1038,990,3876,-3876,51528,-7.52,-16.27,4,20-25%,0.2965,0,-0.2965
8716559455,furion,Core,Offlane,dire,559,510,1353,-1353,23145,-5.85,-12.42,4,20-25%,0.3406,0,-0.3406
8716559460,invoker,Core,Mid,dire,671,630,3090,-3090,30120,-10.26,-22.86,2,10-15%,0.2611,1,0.7389
8716560099,kunkka,Core,Mid,dire,630,600,1135,-1135,31661,-3.58,-7.44,6,30-35%,0.4022,1,0.5978
8716560781,ogre_magi,Core,Offlane,dire,1119,1080,3173,-3173,60927,-5.21,-10.99,5,25-30%,0.3342,0,-0.3342
8716561673,ogre_magi,Core,Offlane,dire,1102,1050,3234,-3234,58450,-5.53,-11.71,5,25-30%,0.3374,0,-0.3374
8716562294,invoker,Support,Safelane,radiant,1074,1020,1883,1883,49365,3.81,7.35,12,60-65%,0.6388,1,0.3612
