match_id,hero,role,lane,role_cat,midas_team,buy_sec,ref_bucket,personal_nw_adv,band,band_label,expected_win,actual_win,delta
8716529121,ogre_magi,Support,Safelane,support,dire,1019,960,494,13,Ahead,0.563664,1,0.436336
8716541386,warlock,Support,Offlane,support,dire,1200,1170,2393,18,Very Ahead,0.708759,1,0.291241
8716544066,ogre_magi,Support,Offlane,support,dire,1178,1140,-84,9,Even,0.489249,1,0.510751
8716545192,furion,Support,Offlane,support,dire,983,930,1342,17,Very Ahead,0.630519,0,-0.630519
8716549421,furion,Core,Mid,mid,dire,528,480,-760,4,Behind,0.423077,1,0.576923
8716556172,ogre_magi,Support,Safelane,support,radiant,1028,990,291,12,Ahead,0.541766,1,0.458234
8716557568,invoker,Core,Mid,mid,radiant,766,720,-1962,1,Very Behind,0.283174,0,-0.283174
8716557779,ogre_magi,Core,Offlane,offlane,radiant,650,600,690,15,Ahead,0.602168,0,-0.602168
8716558472,life_stealer,Core,Safelane,carry,dire,575,540,541,14,Ahead,0.588139,1,0.411861
8716559162,ogre_magi,Support,Offlane,support,dire,1038,990,-1146,3,Very Behind,0.368323,0,-0.368323
8716559455,furion,Core,Offlane,offlane,dire,559,510,402,14,Ahead,0.579033,0,-0.579033
8716559460,invoker,Core,Mid,mid,dire,671,630,-868,4,Behind,0.413008,1,0.586992
8716560099,kunkka,Core,Mid,mid,dire,630,600,431,12,Ahead,0.552293,1,0.447707
8716560781,ogre_magi,Core,Offlane,offlane,dire,1119,1080,-1916,3,Very Behind,0.305583,0,-0.305583
8716561673,ogre_magi,Core,Offlane,offlane,dire,1102,1050,-2356,2,Very Behind,0.288018,0,-0.288018
8716562294,invoker,Support,Safelane,support,radiant,1074,1020,306,12,Ahead,0.554059,1,0.445941
8716562819,ogre_magi,Core,Mid,mid,radiant,764,720,-491,7,Behind,0.433608,0,-0.433608
8716563085,enigma,Support,Offlane,support,dire,1260,1230,-242,8,Even,0.470729,1,0.529271
8716563456,rattletrap,Core,Offlane,offlane,dire,1060,1020,-2821,1,Very Behind,0.226913,0,-0.226913
8716563687,windrunner,Support,Offlane,support,dire,1330,1290,282,11,Even,0.546779,0,-0.546779
8716563728,ogre_magi,Support,Safelane,support,radiant,1317,1260,-852,6,Behind,0.417037,0,-0.417037
8716564341,slark,Core,Safelane,carry,dire,750,720,-2376,0,Very Behind,0.180026,0,-0.180026
8716564370,omniknight,Core,Offlane,offlane,radiant,742,690,639,14,Ahead,0.595082,0,-0.595082
8716564666,invoker,Core,Mid,mid,dire,632,600,-572,6,Behind,0.431662,0,-0.431662
8716564820,ogre_magi,Support,Safelane,support,radiant,1733,1680,-1898,4,Behind,0.323863,1,0.676137
8716565559,obsidian_destroyer,Core,Mid,mid,radiant,810,780,-304,8,Even,0.470744,0,-0.470744
8716565687,ogre_magi,Support,Offlane,support,dire,1177,1140,-1936,1,Very Behind,0.295149,0,-0.295149
8716566074,ogre_magi,Support,Offlane,support,radiant,1587,1530,-1014,6,Behind,0.388184,0,-0.388184
8716566393,ogre_magi,Core,Offlane,offlane,radiant,1061,1020,-1470,4,Behind,0.338603,0,-0.338603
8716566575,ogre_magi,Support,Offlane,support,dire,992,960,147,11,Even,0.52027,1,0.47973
8716566598,ogre_magi,Support,Safelane,support,radiant,1230,1200,762,13,Ahead,0.570019,0,-0.570019
8716566703,invoker,Core,Mid,mid,dire,477,420,-414,5,Behind,0.42946,1,0.57054
8716566758,ogre_magi,Support,Offlane,support,radiant,1033,990,-59,9,Even,0.493714,1,0.506286
8716567028,phoenix,Support,Offlane,support,dire,1503,1470,-1491,4,Behind,0.339557,0,-0.339557
8716567472,brewmaster,Core,Offlane,offlane,dire,708,660,-439,6,Behind,0.421452,0,-0.421452
8716567847,ogre_magi,Support,Offlane,support,dire,1941,1890,-2648,4,Behind,0.318671,0,-0.318671
8716567848,kunkka,Core,Mid,mid,dire,662,630,2283,19,Very Ahead,0.75033,0,-0.75033
8716567887,furion,Support,Safelane,support,dire,742,690,958,18,Very Ahead,0.605865,0,-0.605865
8716568255,obsidian_destroyer,Core,Mid,mid,dire,737,690,1448,17,Very Ahead,0.652489,0,-0.652489
8716568258,ogre_magi,Support,Offlane,support,dire,1082,1050,-1499,2,Very Behind,0.337585,1,0.662415
8716568362,ogre_magi,Support,Safelane,support,radiant,1046,990,591,13,Ahead,0.564658,1,0.435342
8716568418,ogre_magi,Support,Offlane,support,dire,1057,1020,14,10,Even,0.511032,0,-0.511032
8716568577,ogre_magi,Core,Offlane,offlane,radiant,1020,990,100,10,Even,0.494733,0,-0.494733
8716568703,ogre_magi,Support,Offlane,support,radiant,1122,1080,-1327,3,Very Behind,0.363251,1,0.636749
8716568813,ogre_magi,Core,Offlane,offlane,dire,855,810,-1921,1,Very Behind,0.261326,0,-0.261326
8716569168,ogre_magi,Support,Offlane,support,radiant,1157,1110,-4028,0,Very Behind,0.279327,1,0.720673
8716569251,ogre_magi,Support,Safelane,support,radiant,732,690,52,10,Even,0.522119,1,0.477881
8716569523,ogre_magi,Support,Offlane,support,radiant,995,960,-3423,0,Very Behind,0.309156,0,-0.309156
8716569557,ogre_magi,Support,Offlane,support,radiant,931,900,481,13,Ahead,0.55516,1,0.44484
8716569892,spectre,Core,Safelane,carry,dire,888,840,-2021,1,Very Behind,0.236202,1,0.763798
8716569937,furion,Core,Mid,mid,dire,406,360,73,10,Even,0.509265,0,-0.509265
8716570293,ogre_magi,Support,Offlane,support,radiant,756,720,900,17,Very Ahead,0.604068,0,-0.604068
8716570414,invoker,Core,Mid,mid,dire,718,660,494,13,Ahead,0.564787,0,-0.564787
8716570467,ogre_magi,Support,Safelane,support,dire,1398,1350,108,10,Even,0.51536,0,-0.51536
8716571041,snapfire,Core,Mid,mid,radiant,1694,1650,-7032,1,Very Behind,0.15531,0,-0.15531
8716571128,invoker,Core,Mid,mid,radiant,495,450,-631,4,Behind,0.436244,0,-0.436244
8716571507,ogre_magi,Support,Offlane,support,dire,846,810,-46,9,Even,0.493804,1,0.506196
8716571516,ogre_magi,Support,Safelane,support,radiant,1308,1260,1414,16,Very Ahead,0.663075,1,0.336925
8716572572,invoker,Core,Mid,mid,radiant,685,630,-650,5,Behind,0.417051,0,-0.417051
8716572815,ogre_magi,Support,Safelane,support,radiant,961,930,347,12,Ahead,0.530533,1,0.469467
8716572876,invoker,Core,Mid,mid,dire,1105,1050,2639,17,Very Ahead,0.724662,1,0.275338
8716573291,invoker,Core,Mid,mid,dire,990,960,932,13,Ahead,0.586264,0,-0.586264
8716573682,ogre_magi,Support,Safelane,support,radiant,1112,1080,-134,9,Even,0.502292,1,0.497708
8716573891,ogre_magi,Support,Safelane,support,dire,1146,1110,-140,9,Even,0.482152,1,0.517848
8716574051,enchantress,Support,Offlane,support,dire,688,630,1038,18,Very Ahead,0.602849,1,0.397151
8716574177,razor,Core,Safelane,carry,radiant,538,480,1745,19,Very Ahead,0.765943,1,0.234057
8716574376,ogre_magi,Core,Offlane,offlane,dire,1015,960,-841,6,Behind,0.400524,0,-0.400524
8716574538,invoker,Support,Offlane,support,radiant,1114,1080,79,10,Even,0.493174,0,-0.493174
8716574570,invoker,Support,Offlane,support,radiant,697,660,-471,4,Behind,0.443269,0,-0.443269
8716574936,enigma,Core,Offlane,offlane,radiant,547,510,242,12,Ahead,0.545007,0,-0.545007
8716575230,life_stealer,Core,Offlane,offlane,radiant,666,630,-21,9,Even,0.49035,1,0.50965
8716575352,invoker,Core,Mid,mid,dire,575,540,819,15,Ahead,0.593092,0,-0.593092
8716575516,ogre_magi,Core,Offlane,offlane,dire,934,900,714,13,Ahead,0.577381,0,-0.577381
8716575668,ogre_magi,Core,Offlane,offlane,radiant,829,780,-324,7,Behind,0.436292,0,-0.436292
8716575849,ogre_magi,Support,Safelane,support,dire,1139,1080,1459,17,Very Ahead,0.659932,0,-0.659932
8716576102,warlock,Support,Safelane,support,dire,999,960,431,13,Ahead,0.563664,0,-0.563664
8716576188,ogre_magi,Support,Safelane,support,radiant,1125,1080,52,10,Even,0.493174,0,-0.493174
8716576307,lion,Support,Offlane,support,dire,824,780,1598,19,Very Ahead,0.68036,1,0.31964
8716577019,invoker,Core,Mid,mid,radiant,608,570,-1299,2,Very Behind,0.364834,1,0.635166
8716577095,vengefulspirit,Core,Safelane,carry,dire,689,630,1099,17,Very Ahead,0.683071,0,-0.683071
8716577167,juggernaut,Core,Safelane,carry,dire,842,810,901,14,Ahead,0.592058,0,-0.592058
8716577363,ogre_magi,Support,Offlane,support,radiant,1033,990,1123,16,Very Ahead,0.626439,1,0.373561
8716577423,invoker,Core,Mid,mid,dire,571,540,598,14,Ahead,0.547344,1,0.452656
8716577650,ogre_magi,Support,Offlane,support,radiant,892,840,239,12,Ahead,0.548783,1,0.451217
8716577653,nyx_assassin,Support,Offlane,support,radiant,761,720,319,13,Ahead,0.542232,1,0.457768
8716577668,furion,Support,Offlane,support,dire,749,690,-4632,0,Very Behind,0.35338,1,0.64662
8716577673,invoker,Core,Mid,mid,dire,930,900,-1139,5,Behind,0.401912,1,0.598088
8716577717,invoker,Core,Mid,mid,radiant,676,630,-1354,2,Very Behind,0.365492,1,0.634508
8716577853,vengefulspirit,Core,Mid,mid,radiant,857,810,-2840,1,Very Behind,0.273386,0,-0.273386
8716577945,brewmaster,Core,Offlane,offlane,dire,925,870,-794,5,Behind,0.385451,1,0.614549
8716577991,ogre_magi,Support,Offlane,support,dire,1188,1140,-1419,3,Very Behind,0.351066,1,0.648934
8716578333,slardar,Core,Offlane,offlane,radiant,512,480,-224,7,Behind,0.456564,1,0.543436
8716578442,rubick,Core,Mid,mid,dire,1658,1620,-4361,3,Very Behind,0.255064,0,-0.255064
8716578862,ogre_magi,Support,Safelane,support,radiant,1494,1440,-1646,4,Behind,0.340158,0,-0.340158
8716579050,silencer,Support,Safelane,support,radiant,1350,1320,-3631,0,Very Behind,0.23457,1,0.76543
8716579072,ogre_magi,Core,Offlane,offlane,dire,612,570,810,16,Very Ahead,0.616145,1,0.383855
8716579092,kunkka,Core,Mid,mid,dire,585,540,1801,19,Very Ahead,0.72835,1,0.27165
8716579147,ogre_magi,Support,Offlane,support,dire,1040,990,396,12,Ahead,0.541766,0,-0.541766
8716579218,invoker,Core,Mid,mid,radiant,533,480,-767,3,Very Behind,0.408097,1,0.591903
8716579549,ogre_magi,Core,Offlane,offlane,dire,1232,1200,103,10,Even,0.509091,0,-0.509091
8716579930,ogre_magi,Support,Safelane,support,radiant,931,900,-26,9,Even,0.491911,0,-0.491911
8716580321,invoker,Support,Safelane,support,dire,1169,1110,-1693,2,Very Behind,0.341891,0,-0.341891
8716580348,ogre_magi,Core,Mid,mid,dire,1094,1050,968,13,Ahead,0.610544,0,-0.610544
8716580390,invoker,Support,Offlane,support,dire,832,780,679,15,Ahead,0.570479,0,-0.570479
8716580498,ogre_magi,Core,Offlane,offlane,radiant,822,780,-1099,3,Very Behind,0.35625,0,-0.35625
8716580768,brewmaster,Core,Offlane,offlane,dire,668,630,-125,8,Even,0.470511,1,0.529489
8716580815,techies,Support,Offlane,support,dire,1457,1410,-1270,5,Behind,0.359292,0,-0.359292
8716580940,ogre_magi,Support,Safelane,support,radiant,1136,1080,864,14,Ahead,0.57918,1,0.42082
8716581008,ogre_magi,Core,Offlane,offlane,dire,1266,1230,-2903,2,Very Behind,0.239815,1,0.760185
8716581145,invoker,Core,Mid,mid,radiant,865,810,-2901,0,Very Behind,0.205204,1,0.794796
8716581252,ogre_magi,Core,Offlane,offlane,radiant,777,720,-663,5,Behind,0.398491,1,0.601509
8716581399,ogre_magi,Core,Offlane,offlane,dire,705,660,-396,6,Behind,0.421452,0,-0.421452
8716581462,ogre_magi,Core,Mid,mid,dire,521,480,1679,19,Very Ahead,0.71631,1,0.28369
